ESTACION;CODIGO;X;Y;MUNICIPIO;CUENCA;Jahr;ENERO;FEBRERO;MARZO;ABRIL;MAYO;JUNIO;JULIO;AGOSTO;SEPTIEMBRE;OCTUBRE;NOVIEMBRE;DICIEMBRE
Dogna Juana;2120630;992300;993700;Santafe de Bogota;R. Tunjuelo;2012;45,5;55,7;98,1;152,7;48,1;41,9;81,7;61,3;23,4;137,3;65,7;64,9
Edificio CAR;2120058;1000000;1000000;Santafe de Bogota;Bogota;2012;88,4;69,7;151,9;165,7;30,2;39,3;84,2;64,8;19,8;139,7;87,2;76,7
El Bosque;2120085;986200;995560;Santafe de Bogota;R. Tunjuelo;2012;50,9;66,6;174;223,4;135,1;156;206,7;142,5;94;153;54,3;87
El Bosque;2120085;986200;995560;Santafe de Bogota;R. Tunjuelo;1999;52,6;3,5;38,7;141,7;103,7;119,6;83,6;85,1;97,2;190,8;169,9;69,3
El Bosque;2120085;986200;995560;Santafe de Bogota;R. Tunjuelo;1998;3,4;25,1;87,8;53,9;169,9;189,1;165,9;117,7;42,7;112,6;73,2;59,4
El Bosque;2120085;986200;995560;Santafe de Bogota;R. Tunjuelo;1997;79,6;59,7;38,8;81;111,4;83,9;201,8;108,1;57,9;73;77,5;5
El Bosque;2120085;986200;995560;Santafe de Bogota;R. Tunjuelo;1996;32,9;89,5;126,6;78;107,3;70,2;149,6;106,4;77,3;57,3;93,5;69,1
El Bosque;2120085;986200;995560;Santafe de Bogota;R. Tunjuelo;1995;29,8;38,8;13,5;38,9;75;151,2;80,5;86,2;66,8;34,5;27,5;66,7
El Bosque;2120085;986200;995560;Santafe de Bogota;R. Tunjuelo;1994;153,5;200;143,5;94,3;119,8;145,5;183;164,7;91,4;72,6;99,3;50,6
El Bosque;2120085;986200;995560;Santafe de Bogota;R. Tunjuelo;1993;14,1;4,4;22,4;86,3;59,2;178;109,6;94,4;73;57,5;352,3;18,5
El Bosque;2120085;986200;995560;Santafe de Bogota;R. Tunjuelo;1992;15,1;23;202,2;52,6;73,1;59,8;121,9;123,9;33,7;36,9;115;80,3
El Bosque;2120085;986200;995560;Santafe de Bogota;R. Tunjuelo;1991;21;26,5;92,7;139,9;134,4;112;260,4;208,7;68,4;45,7;133;53,7
El Bosque;2120085;986200;995560;Santafe de Bogota;R. Tunjuelo;1990;35,4;44,4;136,2;57,8;205,4;71,4;67,1;104,8;71,1;166,6;71,4;78,5
El Bosque;2120085;986200;995560;Santafe de Bogota;R. Tunjuelo;1989;6,1;9;28,8;23,9;90,1;29,3;9,4;27,1;7,2;20,2;35,8;31,8
El Bosque;2120085;986200;995560;Santafe de Bogota;R. Tunjuelo;1988;2;43,3;12,6;38,1;16,6;6,2;24,1;49,9;38,3;29,5;21,3;36,8
El Bosque;2120085;986200;995560;Santafe de Bogota;R. Tunjuelo;1987;27;55;71,9;77,4;139,1;81,7;82,6;130,5;78,8;102,6;57,4;63,1
El Bosque;2120085;986200;995560;Santafe de Bogota;R. Tunjuelo;1986;8;131;71;113;189;191;222;108;114;186;30,5;41,3
El Bosque;2120085;986200;995560;Santafe de Bogota;R. Tunjuelo;1985;17;9,5;4,1;76,6;150;124,9;142;137;49,3;155,4;100;66
El Bosque;2120085;986200;995560;Santafe de Bogota;R. Tunjuelo;1984;85,5;196,5;86;266;248;268;119,5;210;173;66;126;30
El Bosque;2120085;986200;995560;Santafe de Bogota;R. Tunjuelo;1983;26;99;78,7;206;213;210;364,5;128;211,5;49;42,5;195,5
El Bosque;2120085;986200;995560;Santafe de Bogota;R. Tunjuelo;1982;53,9;33,1;90,8;225;134,5;100,6;214,4;200,3;111,6;116,2;49,9;14,8
El Bosque;2120085;986200;995560;Santafe de Bogota;R. Tunjuelo;1981;10,8;37,4;39,2;119,5;227,7;221,5;486,5;144,4;103,9;169,5;120,7;77,6
El Bosque;2120085;986200;995560;Santafe de Bogota;R. Tunjuelo;1980;53,1;64,2;54;133,7;88,5;302,1;115,6;149,7;111,4;156,2;69,2;60
El Bosque;2120085;986200;995560;Santafe de Bogota;R. Tunjuelo;1979;15,1;4;73,8;300;111,5;215,3;113,5;161,5;104;184,8;220,3;52,1
El Bosque;2120085;986200;995560;Santafe de Bogota;R. Tunjuelo;1978;13,5;59;76,5;178,5;378;417,5;151,8;147,6;103,2;107,8;77,6;42,3
